dataset_name;projection_name;n_components;trustworthiness;continuity;shepard_correlation;normalized_stress
Wine;T-SVD;2;0.77067608;0.96419103;0.60917308;0.23951457
Wine;T-SVD;3;0.91485478;0.98853866;0.87535734;0.08108399
Wine;TSNE;2;0.99461020;0.97878325;0.68154144;8357.62538909
Wine;TSNE;3;0.99655599;0.98564454;0.76056882;8449.01253473
Wine;UMAP;2;0.96884756;0.98501184;0.68121884;233.97050101
Wine;UMAP;3;0.98688249;0.98929437;0.72593377;174.61380829
WisconsinBreastCancer;AE;2;0.90586966;0.95475799;0.78727228;0.53666818
WisconsinBreastCancer;AE;3;0.95773570;0.97675560;0.85603958;0.88795739
WisconsinBreastCancer;DM;2;0.88224326;0.94054706;0.87615705;0.66900747
WisconsinBreastCancer;DM;3;0.89508503;0.92093998;0.86972867;0.42988774
WisconsinBreastCancer;F-ICA;2;0.89130147;0.95576271;0.89707430;0.85930242
WisconsinBreastCancer;F-ICA;3;0.94339203;0.96932573;0.83805742;0.82980707
WisconsinBreastCancer;FA;2;0.88247048;0.94147123;0.87157794;0.71467572
WisconsinBreastCancer;FA;3;0.90521904;0.94367685;0.87273957;1.55512346
WisconsinBreastCancer;G-RP;2;0.84387545;0.93330976;0.81996176;0.32285144
WisconsinBreastCancer;G-RP;3;0.89982470;0.95541310;0.84532573;0.14217865
WisconsinBreastCancer;H-LLE;2;0.53145672;0.69740258;0.16367143;0.97931823
WisconsinBreastCancer;H-LLE;3;0.81181221;0.89217076;0.72347171;0.97628402
WisconsinBreastCancer;I-PCA;2;0.89120563;0.96278629;0.93009374;0.05892917
WisconsinBreastCancer;I-PCA;3;0.92937727;0.97798889;0.95408310;0.03515960
WisconsinBreastCancer;ISO;2;0.88960609;0.95544145;0.88819209;0.47355334
WisconsinBreastCancer;ISO;3;0.94102804;0.97330006;0.91366667;0.52918935
WisconsinBreastCancer;K-PCA-P;2;0.89081914;0.96240969;0.92963133;0.49750121
WisconsinBreastCancer;K-PCA-P;3;0.94489529;0.98197267;0.95583335;0.47335836
WisconsinBreastCancer;K-PCA-R;2;0.89123038;0.96280968;0.92730425;0.63559385
WisconsinBreastCancer;K-PCA-R;3;0.94808312;0.98367614;0.95445365;0.61497756
WisconsinBreastCancer;K-PCA-S;2;0.89109315;0.96295366;0.92490775;0.83421734
WisconsinBreastCancer;K-PCA-S;3;0.94958097;0.98378818;0.94987763;0.82384463
WisconsinBreastCancer;L-LTSA;2;0.55739716;0.61723706;0.07338311;0.95997892
WisconsinBreastCancer;L-LTSA;3;0.56799597;0.70656878;0.14674397;0.91436904
WisconsinBreastCancer;L-MDS;2;0.89125693;0.96157774;0.92412794;0.06416287
WisconsinBreastCancer;L-MDS;3;0.94709460;0.98307952;0.94912042;0.03618004
WisconsinBreastCancer;LE;2;0.87144648;0.92753476;0.73991386;0.98081304
WisconsinBreastCancer;LE;3;0.89064996;0.95054384;0.66263949;0.97645276
WisconsinBreastCancer;LLE;2;0.82005468;0.89735453;0.54073815;0.87513826
WisconsinBreastCancer;LLE;3;0.86362966;0.91163295;0.59570272;0.84283399
WisconsinBreastCancer;LPP;2;0.80884755;0.85141196;0.65397969;0.98490274
WisconsinBreastCancer;LPP;3;0.80006020;0.87057584;0.69338361;0.98033150
WisconsinBreastCancer;LTSA;2;0.68120471;0.78401891;0.33194111;0.96741391
WisconsinBreastCancer;LTSA;3;0.70347768;0.73916160;0.38209191;0.94976462
WisconsinBreastCancer;M-LLE;2;0.85847738;0.90432591;0.79875636;0.88921836
WisconsinBreastCancer;M-LLE;3;0.88754986;0.92028262;0.68088561;0.83796109
WisconsinBreastCancer;MDS;2;0.89583598;0.94243096;0.94178244;0.02926857
WisconsinBreastCancer;MDS;3;0.96140137;0.98141789;0.97706778;0.00909027
WisconsinBreastCancer;N-MDS;2;0.50183981;0.48608018;-0.01336746;0.37717901
WisconsinBreastCancer;N-MDS;3;0.49991316;0.50386499;-0.01653518;0.33414618
WisconsinBreastCancer;NMF;2;0.87977264;0.94946938;0.86025572;0.67556698
WisconsinBreastCancer;NMF;3;0.93789735;0.97249601;0.89427001;0.60441399
WisconsinBreastCancer;NPE;2;0.87847681;0.92400138;0.75963309;0.89960882
WisconsinBreastCancer;NPE;3;0.88561917;0.92463040;0.76026623;0.89919885
WisconsinBreastCancer;PCA;2;0.89133837;0.96279484;0.93004469;0.05891768
WisconsinBreastCancer;PCA;3;0.94798188;0.98361900;0.95629928;0.03153457
WisconsinBreastCancer;S-PCA;2;0.89189719;0.95888215;0.92134352;0.08415299
WisconsinBreastCancer;S-PCA;3;0.94397741;0.98062869;0.94469302;0.05247658
WisconsinBreastCancer;S-RP;2;0.75829894;0.89484791;0.67407255;0.16733258
WisconsinBreastCancer;S-RP;3;0.76981472;0.87356210;0.62160560;0.21818499
WisconsinBreastCancer;SPE;2;0.89167672;0.93847463;0.93527664;0.36625434
WisconsinBreastCancer;SPE;3;0.95265722;0.97381029;0.97004400;0.35680176
WisconsinBreastCancer;T-SVD;2;0.88432784;0.95893614;0.90796134;0.08058018
WisconsinBreastCancer;T-SVD;3;0.94074008;0.98152768;0.95321077;0.03779609
WisconsinBreastCancer;TSNE;2;0.96984856;0.95056094;0.74020602;304.25687923
WisconsinBreastCancer;TSNE;3;0.97928067;0.96974327;0.78745026;472.10855984
WisconsinBreastCancer;UMAP;2;0.93768498;0.96306615;0.76254028;6.92825277
WisconsinBreastCancer;UMAP;3;0.95869047;0.97571444;0.78313816;5.74309438
